Feature,Importance
slope,0.39993052967303955
chestpain,0.15066574437269434
restingBP,0.1294899777738614
serumcholestrol,0.06814738718316429
noofmajorvessels,0.059237103661848894
maxheartrate,0.048611942934247726
restingrelectro,0.04422732752986249
oldpeak,0.03491368629684704
age,0.020975534607103233
gender,0.018690018957017277
fastingbloodsugar,0.01649588752216881
AgeGroup,0.004924485735156019
exerciseangia,0.0036903737529890785
